source,variable,table,description,data_type,logic
survey,ev_typical_charge_1,person,Where person charges their electric vehicle(s): At home,integer/categorical,Daily 3: If household has an EV or PHEV
survey,ev_typical_charge_2,person,Where person charges their electric vehicle(s): At work,integer/categorical,Daily 3: If household has an EV or PHEV
survey,ev_typical_charge_3,person,"Where person charges their electric vehicle(s): At a commute location (e.g., Park and Ride lot, parking garage)",integer/categorical,Daily 3: If household has an EV or PHEV
survey,ev_typical_charge_4,person,"Where person charges their electric vehicle(s): At a shopping location (e.g., grocery store, shopping mall)",integer/categorical,Daily 3: If household has an EV or PHEV
survey,ev_typical_charge_5,person,"Where person charges their electric vehicle(s): At a public location (e.g., hospital, library, government building)",integer/categorical,Daily 3: If household has an EV or PHEV
survey,ev_typical_charge_6,person,Where person charges their electric vehicle(s): At a hotel/inn,integer/categorical,Daily 3: If household has an EV or PHEV
survey,ev_typical_charge_996,person,Where person charges their electric vehicle(s): Other,integer/categorical,Daily 3: If household has an EV or PHEV
survey,ev_typical_charge_997,person,Where person charges their electric vehicle(s): I don't charge my plug-in EV,integer/categorical,Daily 3: If household has an EV or PHEV
survey,ev_purchase_barrier,person,I feel that the availability of charging stations near my home discourages me from purchasing as electric vehicle,integer/categorical,Daily 3: If household has 1+ vehicles and person drives; if rMove or (rMove for Web and person 1).
survey,disability,person,"Person has a condition, impairment, or disability that affects their travel or that requires special equipment or devices",integer/categorical,Daily 4
survey,disability_travel_1,person,How often person has trouble using transportation,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_travel_1_mode_1,person,Type(s) of transportation person has trouble using: Sidewalks or crosswalks when walking (or jogging/using a wheelchair),integer/categorical,"Daily 4: If disability_travel_1 is not ""Never"""
survey,disability_travel_1_mode_2,person,"Type(s) of transportation person has trouble using: Bus (CTA, PACE, other service provider)",integer/categorical,"Daily 4: If disability_travel_1 is not ""Never"""
survey,disability_travel_1_mode_3,person,"Type(s) of transportation person has trouble using: Train (CTA, METRA, NICTD)",integer/categorical,"Daily 4: If disability_travel_1 is not ""Never"""
survey,disability_travel_1_mode_4,person,Type(s) of transportation person has trouble using: Carpool/vanpool,integer/categorical,"Daily 4: If disability_travel_1 is not ""Never"""
survey,disability_travel_1_mode_5,person,Type(s) of transportation person has trouble using: Dial-a-Ride,integer/categorical,"Daily 4: If disability_travel_1 is not ""Never"""
survey,disability_travel_1_mode_6,person,Type(s) of transportation person has trouble using: Call-n-Ride,integer/categorical,"Daily 4: If disability_travel_1 is not ""Never"""
survey,disability_travel_1_mode_7,person,Type(s) of transportation person has trouble using: Paratransit,integer/categorical,"Daily 4: If disability_travel_1 is not ""Never"""
survey,disability_travel_1_mode_8,person,Type(s) of transportation person has trouble using: Private shuttle bus,integer/categorical,"Daily 4: If disability_travel_1 is not ""Never"""
survey,disability_travel_1_mode_9,person,"Type(s) of transportation person has trouble using: Uber/Lyft/Via, taxi, or car service",integer/categorical,"Daily 4: If disability_travel_1 is not ""Never"""
survey,disability_travel_1_why_1,person,Why person has trouble using public transportation: Difficulty getting to or from public transportation stations/stops,integer/categorical,"Daily 4: If disability_travel_1_mode is bus, train, or paratransit"
survey,disability_travel_1_why_2,person,Why person has trouble using public transportation: Difficulty while waiting at public transportation stations/stops,integer/categorical,"Daily 4: If disability_travel_1_mode is bus, train, or paratransit"
survey,disability_travel_1_why_3,person,Why person has trouble using public transportation: Difficulty while onboard public transportation,integer/categorical,"Daily 4: If disability_travel_1_mode is bus, train, or paratransit"
survey,disability_travel_1_why_997,person,Why person has trouble using public transportation: Other,integer/categorical,"Daily 4: If disability_travel_1_mode is bus, train, or paratransit"
survey,disability_travel_2,person,"Has a lack of transportation kept person from medical appointments, social activities, leisure, exercise or other travel?",integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_1_1,person,Type of disability: Physical-related disability,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_1_2,person,Type of disability: Vision-related disability,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_1_3,person,Type of disability: Hearing-related disability,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_1_4,person,Type of disability: Cognitive/language/learning-related disability,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_1_5,person,Type of disability: Psychiatric disability/mental health,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_1_997,person,Type of disability: Other,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_1_999,person,Type of disability: Prefer not to answer,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_1,person,Travel assistance used: Cane,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_2,person,Travel assistance used: Walker,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_3,person,Travel assistance used: White cane,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_4,person,Travel assistance used: Seeing-eye dog or other K-9 assistance,integer/categorical,"Daily 4: If disability = ""Yes"""
survey,disability_type_2_5,person,Travel assistance used: Crutches,integer/categorical,"Daily 4: If disability = ""Yes"""
